#entrez	phenotype	sources
E220164	hdf	brass08:hdf
E220213	hdf	konig08:hdf
E220972	hrf	liu:hrf
E221120	hdf	konig08:hdf
E221443	hdf	yeung09:hdf
E221491	hdf	brass08:hdf
E222484	hdf	brass08:hdf
E222584	hrf	liu:hrf
E222967	hdf	zhou08:hdf
E2252	hdf	yeung09:hdf
E2275	hdf	brass08:hdf
E22796	hdf	brass08:hdf
E22800	hdf	yeung09:hdf
E22839	hdf	konig08:hdf
E22861	hdf	konig08:hdf
E22863	hdf	yeung09:hdf
E22876	hdf	yeung09:hdf
E22878	hdf	brass08:hdf
E22881	hdf	brass08:hdf
E22893	hdf	brass08:hdf
E22938	hdf	konig08:hdf
E23013	hdf	konig08:hdf
E23014	hdf	brass08:hdf
E23036	hdf	konig08:hdf
E23038	hdf	brass08:hdf
E23054	hdf	konig08:hdf
E23067	hdf	konig08:hdf
E2309	hdf	yeung09:hdf
E23118	hdf	yeung09:hdf
E2314	hdf	brass08:hdf
E23143	hdf	yeung09:hdf
E23162	hrf	liu:hrf
E23166	hdf	konig08:hdf
E23167	hrf	liu:hrf
E23168	hrf	liu:hrf
E23174	hdf	yeung09:hdf
E23176	hdf	brass08:hdf
E23177	hdf	konig08:hdf
E23193	hdf	konig08:hdf
E23195	hdf	brass08:hdf
E23207	hdf	yeung09:hdf
E23218	hdf	zhou08:hdf
E23220	hdf	zhou08:hdf
E23240	hdf	zhou08:hdf
E23248	hrf	liu:hrf
E23252	hdf	brass08:hdf
E23256	hdf	brass08:hdf
E23264	hdf	konig08:hdf
E23272	both	yeung09:hdf|liu:hrf
E23279	hdf	brass08:hdf
E23291	hdf	brass08:hdf
E23299	hdf	zhou08:hdf
E23300	hdf	konig08:hdf
E23302	hdf	yeung09:hdf
E23365	hdf	brass08:hdf
E2339	hdf	brass08:hdf
E23396	hdf	brass08:hdf
E23451	hdf	konig08:hdf
E23469	hdf	yeung09:hdf|brass08:hdf
E23474	hdf	brass08:hdf
E23480	hdf	zhou08:hdf
E23483	hdf	zhou08:hdf
E23518	hdf	konig08:hdf
E23534	hdf	brass08:hdf|konig08:hdf
E23553	hdf	yeung09:hdf
E2356	hdf	konig08:hdf
E23588	hdf	brass08:hdf
E23590	hdf	zhou08:hdf
E23593	hdf	yeung09:hdf
E23604	hdf	zhou08:hdf
E23609	hdf	brass08:hdf
E23624	hdf	yeung09:hdf
E23636	hdf	konig08:hdf
E23650	hdf	konig08:hdf
E23774	hdf	yeung09:hdf
E24148	hdf	konig08:hdf
E2495	hrf	liu:hrf
E2519	hrf	liu:hrf
E2523	hrf	liu:hrf
E253832	hdf	zhou08:hdf
E253982	hrf	liu:hrf
E255275	hdf	konig08:hdf
E2553	hdf	zhou08:hdf
E256158	hdf	zhou08:hdf|konig08:hdf
E257	hrf	liu:hrf
E257160	hdf	konig08:hdf
E2581	hdf	yeung09:hdf
E25813	hdf	konig08:hdf
E25832	hrf	liu:hrf
E25839	hdf	brass08:hdf
E25893	hdf	brass08:hdf
E25896	hdf	brass08:hdf
E25897	hrf	liu:hrf
E25909	hdf	konig08:hdf
E25915	hdf	konig08:hdf
E2595	hrf	liu:hrf
E2596	hrf	liu:hrf
E25999	hdf	konig08:hdf
E26010	hdf	brass08:hdf
E26031	hdf	konig08:hdf
E26057	hdf	yeung09:hdf
E26082	hdf	yeung09:hdf
E26091	hdf	yeung09:hdf
E26118	hdf	yeung09:hdf
E26130	hdf	brass08:hdf
E26149	hrf	liu:hrf
E26156	hdf	brass08:hdf
E26230	hdf	brass08:hdf
E26254	hrf	liu:hrf
E26272	hrf	liu:hrf
E26275	hdf	brass08:hdf
